,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
75,rbf,100.0,10.0,,50,"[49, 13, 9, 25]","[50, 11, 12, 23]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[44, 17, 10, 24]","[47, 14, 13, 21]","[44, 17, 12, 22]"
76,rbf,100.0,10.0,,100,"[49, 13, 9, 25]","[50, 11, 11, 24]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[43, 18, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]"
77,rbf,100.0,10.0,,150,"[49, 13, 9, 25]","[50, 11, 11, 24]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[43, 18, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]"
78,poly,100.0,10.0,2.0,50,"[49, 13, 8, 26]","[45, 16, 10, 25]","[51, 10, 7, 28]","[50, 11, 14, 21]","[44, 17, 7, 27]","[39, 22, 7, 27]","[47, 14, 8, 26]","[41, 20, 9, 25]","[44, 17, 11, 23]","[39, 22, 7, 27]"
79,poly,100.0,10.0,2.0,100,"[48, 14, 10, 24]","[45, 16, 11, 24]","[51, 10, 7, 28]","[50, 11, 13, 22]","[45, 16, 6, 28]","[43, 18, 7, 27]","[47, 14, 8, 26]","[42, 19, 9, 25]","[44, 17, 11, 23]","[40, 21, 6, 28]"
80,poly,100.0,10.0,2.0,150,"[47, 15, 10, 24]","[45, 16, 11, 24]","[51, 10, 7, 28]","[50, 11, 13, 22]","[45, 16, 6, 28]","[43, 18, 7, 27]","[47, 14, 8, 26]","[42, 19, 9, 25]","[44, 17, 11, 23]","[40, 21, 6, 28]"
81,poly,100.0,10.0,3.0,50,"[47, 15, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[47, 14, 14, 21]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
82,poly,100.0,10.0,3.0,100,"[47, 15, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[47, 14, 15, 20]","[44, 17, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
83,poly,100.0,10.0,3.0,150,"[47, 15, 9, 25]","[47, 14, 9, 26]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
84,linear,1000.0,,,50,"[46, 16, 7, 27]","[41, 20, 8, 27]","[50, 11, 8, 27]","[50, 11, 14, 21]","[50, 11, 5, 29]","[46, 15, 9, 25]","[42, 19, 9, 25]","[41, 20, 8, 26]","[46, 15, 15, 19]","[41, 20, 7, 27]"
85,linear,1000.0,,,100,"[48, 14, 9, 25]","[42, 19, 8, 27]","[54, 7, 8, 27]","[50, 11, 13, 22]","[50, 11, 6, 28]","[46, 15, 9, 25]","[47, 14, 9, 25]","[42, 19, 8, 26]","[46, 15, 12, 22]","[42, 19, 11, 23]"
86,linear,1000.0,,,150,"[47, 15, 8, 26]","[42, 19, 8, 27]","[50, 11, 8, 27]","[50, 11, 12, 23]","[50, 11, 6, 28]","[44, 17, 8, 26]","[47, 14, 9, 25]","[42, 19, 8, 26]","[46, 15, 12, 22]","[42, 19, 11, 23]"
87,rbf,1000.0,1.0,,50,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[44, 17, 8, 26]","[43, 18, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
88,rbf,1000.0,1.0,,100,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[46, 15, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[42, 19, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
